sub_district,district,province
Nong Don,Chatturat,Chaiyaphum
Nong Kha,Kaset Sombun,Chaiyaphum
Nong Kham,Khon Sawan,Chaiyaphum
Nong Kham,Kaeng Khro,Chaiyaphum
Nong Khon Thai,Phu Khiao,Chaiyaphum
Nong Khu,Ban Thaen,Chaiyaphum
Nong Na Saeng,Mueang Chaiyaphum,Chaiyaphum
Nong Phai,Kaeng Khro,Chaiyaphum
Nong Phai,Mueang Chaiyaphum,Chaiyaphum
Nong Phon Ngam,Kaset Sombun,Chaiyaphum
Nong Sang,Kaeng Khro,Chaiyaphum
Nong Tum,Phu Khiao,Chaiyaphum
Nong Waeng,Nong Bua Daeng,Chaiyaphum
O Lo,Phu Khiao,Chaiyaphum
Phak Pang,Phu Khiao,Chaiyaphum
Phon Thong,Mueang Chaiyaphum,Chaiyaphum
Phu Laen Kha,Ban Khwao,Chaiyaphum
Pong Nok,Thep Sathit,Chaiyaphum
Rang Ngam,Noen Sa-nga,Chaiyaphum
Rop Mueang,Mueang Chaiyaphum,Chaiyaphum
Sa Phang,Ban Thaen,Chaiyaphum
Sa Phon Thong,Kaset Sombun,Chaiyaphum
Sam Suan,Ban Thaen,Chaiyaphum
Sap Si Thong,Mueang Chaiyaphum,Chaiyaphum
Sap Yai,Sap Yai,Chaiyaphum
Si Samran,Khon Sawan,Chaiyaphum
Sok Pla Duk,Nong Bua Rawe,Chaiyaphum
Som Poi,Chatturat,Chaiyaphum
Ta Noen,Noen Sa-nga,Chaiyaphum
Tako Thong,Sap Yai,Chaiyaphum
Talat Raeng,Ban Khwao,Chaiyaphum
Tha Hin Ngom,Mueang Chaiyaphum,Chaiyaphum
Tha Kup,Sap Yai,Chaiyaphum
Tha Mafai Wan,Kaeng Khro,Chaiyaphum
Tha Yai,Nong Bua Daeng,Chaiyaphum
Tham Wua Daeng,Nong Bua Daeng,Chaiyaphum
That Thong,Phu Khiao,Chaiyaphum
Thung Lui Lai,Khon San,Chaiyaphum
Thung Na Lao,Khon San,Chaiyaphum
Thung Phra,Khon San,Chaiyaphum
Wa Tabaek,Thep Sathit,Chaiyaphum
Wang Chomphu,Nong Bua Daeng,Chaiyaphum
Wang Takhe,Nong Bua Rawe,Chaiyaphum
Wang Thong,Phakdi Chumphon,Chaiyaphum
Yang Wai,Khon Sawan,Chaiyaphum
Ang Khiri,Makham,Chanthaburi
Bang Chan,Khlung,Chanthaburi
Bang Kacha,Mueang Chanthaburi,Chanthaburi
Bang Kachai,Laem Sing,Chanthaburi
Bang Sa Kao,Laem Sing,Chanthaburi
Bo,Khlung,Chanthaburi
Bo Phu,Tha Mai,Chanthaburi
Bo Weru,Khlung,Chanthaburi
Cha Man,Makham,Chanthaburi
Chak Thai,Khao Khitchakut,Chanthaburi
Chang Kham,Na Yai Am,Chanthaburi
Chanthakhlem,Khao Khitchakut,Chanthaburi
Chanthanimit,Mueang Chanthaburi,Chanthaburi
Kaeng Hang Maeo,Kaeng Hang Maeo,Chanthaburi
Khamong,Tha Mai,Chanthaburi
Khao Baisi,Tha Mai,Chanthaburi
Khao Kaeo,Tha Mai,Chanthaburi
Khao Wongkot,Kaeng Hang Maeo,Chanthaburi
Khao Wua,Tha Mai,Chanthaburi
Khlong Khut,Tha Mai,Chanthaburi
Khlong Nam Khem,Laem Sing,Chanthaburi
Khlong Narai,Mueang Chanthaburi,Chanthaburi
Khlong Phlu,Khao Khitchakut,Chanthaburi
Khlong Yai,Pong Nam Ron,Chanthaburi
Khlung,Khlung,Chanthaburi
Khun Song,Kaeng Hang Maeo,Chanthaburi
Ko Khwang,Mueang Chanthaburi,Chanthaburi
Ko Proet,Laem Sing,Chanthaburi
Kom Bang,Mueang Chanthaburi,Chanthaburi
Krachae,Na Yai Am,Chanthaburi
Kwian Hak,Khlung,Chanthaburi
Makham,Makham,Chanthaburi
Map Phai,Khlung,Chanthaburi
Na Yai Am,Na Yai Am,Chanthaburi
Nong Bua,Mueang Chanthaburi,Chanthaburi
Nong Chim,Laem Sing,Chanthaburi
Nong Ta Khong,Pong Nam Ron,Chanthaburi
Pak Nam Laem Sing,Laem Sing,Chanthaburi
Patong,Soi Dao,Chanthaburi
Patthawi,Makham,Chanthaburi
Phawa,Kaeng Hang Maeo,Chanthaburi
Phlapphla,Mueang Chanthaburi,Chanthaburi
Phlio,Laem Sing,Chanthaburi
Phloi Waen,Tha Mai,Chanthaburi
Phluang,Khao Khitchakut,Chanthaburi
Pong Nam Ron,Pong Nam Ron,Chanthaburi
Ramphan,Tha Mai,Chanthaburi
Sai Khao,Soi Dao,Chanthaburi
Salaeng,Mueang Chanthaburi,Chanthaburi
Sam Phi Nong,Kaeng Hang Maeo,Chanthaburi
Sanam Chai,Na Yai Am,Chanthaburi
Saton,Soi Dao,Chanthaburi
Si Phaya,Tha Mai,Chanthaburi
Song Phi Nong,Tha Mai,Chanthaburi
Sueng,Khlung,Chanthaburi
Takat Ngao,Tha Mai,Chanthaburi
Takhian Thong,Khao Khitchakut,Chanthaburi
Talat,Mueang Chanthaburi,Chanthaburi
Tapon,Khlung,Chanthaburi
Tha Chang,Mueang Chanthaburi,Chanthaburi
Tha Luang,Makham,Chanthaburi
Tha Mai,Tha Mai,Chanthaburi
Thap Chang,Soi Dao,Chanthaburi
Thap Sai,Pong Nam Ron,Chanthaburi
Thep Nimit,Pong Nam Ron,Chanthaburi
Thung Bencha,Tha Mai,Chanthaburi
Thung Khanan,Soi Dao,Chanthaburi
Tok Phrom,Khlung,Chanthaburi
Trok Nong,Khlung,Chanthaburi
Wan Yao,Khlung,Chanthaburi
Wang Mai,Na Yai Am,Chanthaburi
Wang Saem,Makham,Chanthaburi
Wang Sappharot,Khlung,Chanthaburi
Wang Tanot,Na Yai Am,Chanthaburi
Wat Mai,Mueang Chanthaburi,Chanthaburi
Yai Ra,Tha Mai,Chanthaburi
Ban Aen,Doi Tao,Chiang Mai
Ban Chan,Kanlayaniwatthana,Chiang Mai
Ban Chang,Mae Taeng,Chiang Mai
Ban Kat,Mae Wang,Chiang Mai
Ban Klang,San Pa Tong,Chiang Mai
Ban Luang,Mae Ai,Chiang Mai
Ban Luang,Chom Thong,Chiang Mai
Ban Mae,San Pa Tong,Chiang Mai
Ban Pae,Chom Thong,Chiang Mai
Ban Pao,Mae Taeng,Chiang Mai
Ban Pong,Phrao,Chiang Mai
Ban Pong,Hang Dong,Chiang Mai
Ban Sahakon,Mae On,Chiang Mai
Ban Tan,Hot,Chiang Mai
Ban Thap,Mae Chaem,Chiang Mai
Ban Waen,Hang Dong,Chiang Mai
Bo Kaeo,Samoeng,Chiang Mai
Bo Luang,Hot,Chiang Mai
Bo Sali,Hot,Chiang Mai
Bong Tan,Doi Tao,Chiang Mai
Buak Khang,San Kamphaeng,Chiang Mai
Chae Chang,San Kamphaeng,Chiang Mai
Chaiya Sathan,Saraphi,Chiang Mai
Chang Khlan,Mueang Chiang Mai,Chiang Mai
Chang Khoeng,Mae Chaem,Chiang Mai
Chang Moi,Mueang Chiang Mai,Chiang Mai
Chang Phueak,Mueang Chiang Mai,Chiang Mai
Chiang Dao,Chiang Dao,Chiang Mai
Cho Lae,Mae Taeng,Chiang Mai
Choeng Doi,Doi Saket,Chiang Mai
Chomphu,Saraphi,Chiang Mai
District,Mueang Chiang Mai,Chiang Mai
Doi Kaeo,Chom Thong,Chiang Mai
Doi Lo,Doi Lo,Chiang Mai
Doi Tao,Doi Tao,Chiang Mai
Don Kaeo,Saraphi,Chiang Mai
Don Kaeo,Mae Rim,Chiang Mai
Don Pao,Mae Wang,Chiang Mai
Fa Ham,Mueang Chiang Mai,Chiang Mai
Hai Ya,Mueang Chiang Mai,Chiang Mai
Han Kaeo,Hang Dong,Chiang Mai
Hang Dong,Hang Dong,Chiang Mai
Hang Dong,Hot,Chiang Mai
Hot,Hot,Chiang Mai
Huai Kaeo,Mae On,Chiang Mai
Huai Sai,Mae Rim,Chiang Mai
Huai Sai,San Kamphaeng,Chiang Mai
Inthakhin,Mae Taeng,Chiang Mai
Jam Luang,Kanlayaniwatthana,Chiang Mai
Khi Lek,Mae Rim,Chiang Mai
Khi Lek,Mae Taeng,Chiang Mai
Khua Mung,Saraphi,Chiang Mai
Khuang Pao,Chom Thong,Chiang Mai
Khuean Phak,Phrao,Chiang Mai
Khun Khong,Hang Dong,Chiang Mai
Kong Khaek,Mae Chaem,Chiang Mai
Kuet Chang,Mae Taeng,Chiang Mai
Long Khot,Phrao,Chiang Mai
Luang Nuea,Doi Saket,Chiang Mai
Mae Ai,Mae Ai,Chiang Mai
Mae Dad,Kanlayaniwatthana,Chiang Mai
Mae Faek Mai,San Sai,Chiang Mai
Mae Ho Phra,Mae Taeng,Chiang Mai
Mae Hoi Ngoen,Doi Saket,Chiang Mai
Mae Ka,San Pa Tong,Chiang Mai
Mae Kha,Fang,Chiang Mai
Mae Khue,Doi Saket,Chiang Mai
Mae Na,Chiang Dao,Chiang Mai
Mae Na Chon,Mae Chaem,Chiang Mai
Mae Na Wang,Mae Ai,Chiang Mai
Mae Ngon,Fang,Chiang Mai
Mae Pang,Phrao,Chiang Mai
Mae Pong,Doi Saket,Chiang Mai
Mae Pu Kha,San Kamphaeng,Chiang Mai
Mae Raem,Mae Rim,Chiang Mai
Mae Sa,Mae Rim,Chiang Mai
Mae Sao,Mae Ai,Chiang Mai
Mae Sap,Samoeng,Chiang Mai
Mae Soi,Chom Thong,Chiang Mai
Mae Suek,Mae Chaem,Chiang Mai
Mae Taeng,Mae Taeng,Chiang Mai
Mae Tha,Mae On,Chiang Mai
Mae Thalop,Chai Prakan,Chiang Mai
Mae Tuen,Omkoi,Chiang Mai
Mae Waen,Phrao,Chiang Mai
Mae Win,Mae Wang,Chiang Mai
Makham Luang,San Pa Tong,Chiang Mai
Makhun Wan,San Pa Tong,Chiang Mai
Mon Chong,Omkoi,Chiang Mai
Mon Pin,Fang,Chiang Mai
Mueang Haeng,Wiang Haeng,Chiang Mai
Mueang Kaeo,Mae Rim,Chiang Mai
Mueang Kai,Mae Taeng,Chiang Mai
Mueang Khong,Chiang Dao,Chiang Mai
Mueang Len,San Sai,Chiang Mai
Mueang Na,Chiang Dao,Chiang Mai
Mueang Ngai,Chiang Dao,Chiang Mai
Muet Ka,Doi Tao,Chiang Mai
Na Kho Ruea,Hot,Chiang Mai
Na Kian,Omkoi,Chiang Mai
Nam Bo Luang,San Pa Tong,Chiang Mai
Nam Phrae,Phrao,Chiang Mai
Nam Phrae,Hang Dong,Chiang Mai
Nong Bua,Chai Prakan,Chiang Mai
Nong Chom,San Sai,Chiang Mai
Nong Faek,Saraphi,Chiang Mai
Nong Han,San Sai,Chiang Mai
Nong Hoi,Mueang Chiang Mai,Chiang Mai
Nong Kaeo,Hang Dong,Chiang Mai
Nong Khwai,Hang Dong,Chiang Mai
Nong Pa Khrang,Mueang Chiang Mai,Chiang Mai
Nong Phueng,Saraphi,Chiang Mai
Nong Tong,Hang Dong,Chiang Mai
Nong Yaeng,San Sai,Chiang Mai
Omkoi,Omkoi,Chiang Mai
On Klang,Mae On,Chiang Mai
On Nuea,Mae On,Chiang Mai
On Tai,San Kamphaeng,Chiang Mai
Pa Bong,Saraphi,Chiang Mai
Pa Daet,Mueang Chiang Mai,Chiang Mai
Pa Lan,Doi Saket,Chiang Mai
Pa Miang,Doi Saket,Chiang Mai
Pa Nai,Phrao,Chiang Mai
Pa Pae,Mae Taeng,Chiang Mai
Pa Phai,San Sai,Chiang Mai
Pa Pong,Doi Saket,Chiang Mai
Pa Tan,Mueang Chiang Mai,Chiang Mai
Pa Tum,Phrao,Chiang Mai
Pang Hin Fon,Mae Chaem,Chiang Mai
Phra Sing,Mueang Chiang Mai,Chiang Mai
Piang Luang,Wiang Haeng,Chiang Mai
Ping Khong,Chiang Dao,Chiang Mai
Pong Nam Ron,Fang,Chiang Mai
Pong Tam,Chai Prakan,Chiang Mai
Pong Thung,Doi Tao,Chiang Mai
Pong Yaeng,Mae Rim,Chiang Mai
Rim Nuea,Mae Rim,Chiang Mai
Rim Tai,Mae Rim,Chiang Mai
Rong Wua Daeng,San Kamphaeng,Chiang Mai
Saen Hai,Wiang Haeng,Chiang Mai
Sai Mun,San Kamphaeng,Chiang Mai
Saluang,Mae Rim,Chiang Mai
Samoeng Nuea,Samoeng,Chiang Mai
Samoeng Tai,Samoeng,Chiang Mai
Samran Rat,Doi Saket,Chiang Mai
San Kamphaeng,San Kamphaeng,Chiang Mai
San Klang,San Kamphaeng,Chiang Mai
San Klang,San Pa Tong,Chiang Mai
San Mahaphon,Mae Taeng,Chiang Mai
San Na Meng,San Sai,Chiang Mai
San Pa Pao,San Sai,Chiang Mai
San Pa Yang,Mae Taeng,Chiang Mai
San Phak Wan,Hang Dong,Chiang Mai
San Phisuea,Mueang Chiang Mai,Chiang Mai
San Phranet,San Sai,Chiang Mai
San Pong,Mae Rim,Chiang Mai
San Pu Loei,Doi Saket,Chiang Mai
San Sai,Saraphi,Chiang Mai
San Sai,Fang,Chiang Mai
San Sai,Phrao,Chiang Mai
San Sai Luang,San Sai,Chiang Mai
San Sai Noi,San Sai,Chiang Mai
San Ton Mue,Mae Ai,Chiang Mai
Sa-Nga Ban,Doi Saket,Chiang Mai
Santi Suk,Doi Lo,Chiang Mai
Saraphi,Saraphi,Chiang Mai
Si Dong Yen,Chai Prakan,Chiang Mai
Si Phum,Mueang Chiang Mai,Chiang Mai
Song Khwae,Doi Lo,Chiang Mai
Sop Khong,Omkoi,Chiang Mai
Sop Mae Kha,Hang Dong,Chiang Mai
Sop Poeng,Mae Taeng,Chiang Mai
Sop Tia,Chom Thong,Chiang Mai
Talat Khwan,Doi Saket,Chiang Mai
Talat Yai,Doi Saket,Chiang Mai
Tha Duea,Doi Tao,Chiang Mai
Tha Kwang,Saraphi,Chiang Mai
Tha Nuea,Mae On,Chiang Mai
Tha Pha,Mae Chaem,Chiang Mai
Tha Sala,Mueang Chiang Mai,Chiang Mai
Tha Ton,Mae Ai,Chiang Mai
Tha Wang Phrao,San Pa Tong,Chiang Mai
Tha Wang Tan,Saraphi,Chiang Mai
Thep Sadet,Doi Saket,Chiang Mai
Thung Khao Phuang,Chiang Dao,Chiang Mai
Thung Luang,Phrao,Chiang Mai
Thung Pi,Mae Wang,Chiang Mai
Thung Ruang Thong,Mae Wang,Chiang Mai
Thung Satok,San Pa Tong,Chiang Mai
Thung Tom,San Pa Tong,Chiang Mai
Ton Pao,San Kamphaeng,Chiang Mai
Wat Ket,Mueang Chiang Mai,Chiang Mai
Wiang,Phrao,Chiang Mai
Wiang,Fang,Chiang Mai
Yang Khram,Doi Lo,Chiang Mai
Yang Noeng,Saraphi,Chiang Mai
Yang Piang,Omkoi,Chiang Mai
Yu Wa,San Pa Tong,Chiang Mai
Yung Moen,Samoeng,Chiang Mai
Ban Dai,Mae Sai,Chiang Rai
Ban Du,Mueang Chiang Rai,Chiang Rai
Ban Pong,Wiang Pa Pao,Chiang Rai
Ban Saeo,Chiang Saen,Chiang Rai
Bua Sali,Mae Lao,Chiang Rai
Bunrueang,Chiang Khong,Chiang Rai
Chan Chawa,Mae Chan,Chiang Rai
Chan Chawa Tai,Mae Chan,Chiang Rai
Charoen Mueang,Phan,Chiang Rai
Chedi Luang,Mae Suai,Chiang Rai
Chiang Khian,Thoeng,Chiang Rai
Chok Chai,Doi Luang,Chiang Rai
Chom Mok Kaeo,Mae Lao,Chiang Rai
Chom Sawan,Mae Chan,Chiang Rai
District,Thoeng,Chiang Rai
Doi Hang,Mueang Chiang Rai,Chiang Rai
Doi Lan,Mueang Chiang Rai,Chiang Rai
Doi Ngam,Phan,Chiang Rai
Don Sila,Wiang Chai,Chiang Rai
Dong Mada,Mae Lao,Chiang Rai
Dong Mahawan,Wiang Chiang Rung,Chiang Rai
Hua Ngom,Phan,Chiang Rai
Huai Chomphu,Mueang Chiang Rai,Chiang Rai
Huai Khrai,Mae Sai,Chiang Rai
Huai Sak,Mueang Chiang Rai,Chiang Rai
Huai So,Chiang Khong,Chiang Rai
Khrueng,Chiang Khong,Chiang Rai
Ko Chang,Mae Sai,Chiang Rai
Lai Ngao,Wiang Kaen,Chiang Rai
Mae Chan,Mae Chan,Chiang Rai
Mae Chedi,Wiang Pa Pao,Chiang Rai
Mae Chedi Mai,Wiang Pa Pao,Chiang Rai
Mae Fa Luang,Mae Fa Luang,Chiang Rai
Mae Kham,Mae Chan,Chiang Rai
Mae Khao Tom,Mueang Chiang Rai,Chiang Rai
Mae Kon,Mueang Chiang Rai,Chiang Rai
Mae Ngoen,Chiang Saen,Chiang Rai
Mae O,Phan,Chiang Rai
Mae Pao,Phaya Mengrai,Chiang Rai
Mae Phrik,Mae Suai,Chiang Rai
Mae Rai,Mae Chan,Chiang Rai
Mae Sai,Mae Sai,Chiang Rai
Mae Salong Nai,Mae Fa Luang,Chiang Rai
Mae Salong Nok,Mae Fa Luang,Chiang Rai
Mae Saruai,Mae Suai,Chiang Rai
Mae Tam,Phaya Mengrai,Chiang Rai
Mae Yao,Mueang Chiang Rai,Chiang Rai
Mae Yen,Phan,Chiang Rai
Mai Ya,Phaya Mengrai,Chiang Rai
Mengrai,Phaya Mengrai,Chiang Rai
Muang Kham,Phan,Chiang Rai
Muang Yai,Wiang Kaen,Chiang Rai
Mueang Chum,Wiang Chai,Chiang Rai
Mueang Phan,Phan,Chiang Rai
Nang Lae,Mueang Chiang Rai,Chiang Rai
Ngao,Thoeng,Chiang Rai
Ngio,Thoeng,Chiang Rai
Nong Pa Ko,Doi Luang,Chiang Rai
Nong Raet,Thoeng,Chiang Rai
Pa Daet,Pa Daet,Chiang Rai
Pa Daet,Mae Suai,Chiang Rai
Pa Hung,Phan,Chiang Rai
Pa Ko Dam,Mae Lao,Chiang Rai
Pa Ngae,Pa Daet,Chiang Rai
Pa Ngio,Wiang Pa Pao,Chiang Rai
Pa O Don Chai,Mueang Chiang Rai,Chiang Rai
Pa Sak,Chiang Saen,Chiang Rai
Pa Sang,Mae Chan,Chiang Rai
Pa Sang,Wiang Chiang Rung,Chiang Rai
Pa Tan,Khun Tan,Chiang Rai
Pa Tueng,Mae Chan,Chiang Rai
Pha Ngam,Wiang Chai,Chiang Rai
Plong,Thoeng,Chiang Rai
Po,Wiang Kaen,Chiang Rai
Pong Ngam,Mae Sai,Chiang Rai
Pong Noi,Doi Luang,Chiang Rai
Pong Pha,Mae Sai,Chiang Rai
Pong Phrae,Mae Lao,Chiang Rai
Rim Khong,Chiang Khong,Chiang Rai
Rim Kok,Mueang Chiang Rai,Chiang Rai
Rong Chang,Pa Daet,Chiang Rai
Rop Wiang,Mueang Chiang Rai,Chiang Rai
Sai Khao,Phan,Chiang Rai
San Klang,Phan,Chiang Rai
San Makha,Pa Daet,Chiang Rai
San Makhet,Phan,Chiang Rai
San Sai,Mueang Chiang Rai,Chiang Rai
San Sai,Mae Chan,Chiang Rai
San Sai Ngam,Thoeng,Chiang Rai
San Sali,Wiang Pa Pao,Chiang Rai
Santi Suk,Phan,Chiang Rai
Sathan,Chiang Khong,Chiang Rai
Si Don Chai,Thoeng,Chiang Rai
Si Don Mun,Chiang Saen,Chiang Rai
Si Kham,Mae Chan,Chiang Rai
Si Mueang Chum,Mae Sai,Chiang Rai
Si Pho Ngoen,Pa Daet,Chiang Rai
Si Thoi,Mae Suai,Chiang Rai
Sri Donchai,Chiang Khong,Chiang Rai
Ta,Khun Tan,Chiang Rai
Tap Tao,Thoeng,Chiang Rai
Tat Khwan,Phaya Mengrai,Chiang Rai
Tha Kham,Wiang Kaen,Chiang Rai
Tha Khao Plueak,Mae Chan,Chiang Rai
Tha Ko,Mae Suai,Chiang Rai
Tha Sai,Mueang Chiang Rai,Chiang Rai
Than Tawan,Phan,Chiang Rai
Than Thong,Phan,Chiang Rai
Thoet Thai,Mae Fa Luang,Chiang Rai
Thung Ko,Wiang Chiang Rung,Chiang Rai
Wawi,Mae Suai,Chiang Rai
Wiang,Mueang Chiang Rai,Chiang Rai
Wiang,Chiang Saen,Chiang Rai
Wiang,Chiang Khong,Chiang Rai
Wiang,Thoeng,Chiang Rai
Wiang,Wiang Pa Pao,Chiang Rai
Wiang Chai,Wiang Chai,Chiang Rai
Wiang Hao,Phan,Chiang Rai
Wiang Kalong,Wiang Pa Pao,Chiang Rai
Wiang Nuea,Wiang Chai,Chiang Rai
Wiang Phang Kham,Mae Sai,Chiang Rai
Yang Hom,Khun Tan,Chiang Rai
Yonok,Chiang Saen,Chiang Rai
Ang Sila,Mueang Chon Buri,Chon Buri
Ban Bueng,Ban Bueng,Chon Buri
Ban Chang,Phanat Nikhom,Chon Buri
Ban Kao,Phan Thong,Chon Buri
Ban Khot,Mueang Chon Buri,Chon Buri
Ban Puek,Mueang Chon Buri,Chon Buri
Ban Soet,Phanat Nikhom,Chon Buri
Ban Suan,Mueang Chon Buri,Chon Buri
Bang Hak,Phan Thong,Chon Buri
Bang Nang,Phan Thong,Chon Buri
Bang Phra,Si Racha,Chon Buri
Bang Pla Soi,Mueang Chon Buri,Chon Buri
Bang Sai,Mueang Chon Buri,Chon Buri
Bang Sare,Sattahip,Chon Buri
Bo Kwang Thong,Bo Thong,Chon Buri
Bo Thong,Bo Thong,Chon Buri
Bo Win,Si Racha,Chon Buri
Bueng,Si Racha,Chon Buri
District,Bang Lamung,Chon Buri
District,Si Racha,Chon Buri
Don Hua Lo,Mueang Chon Buri,Chon Buri
Hang Sung,Nong Yai,Chon Buri
Hua Thanon,Phanat Nikhom,Chon Buri
Huai Kapi,Mueang Chon Buri,Chon Buri
Huai Yai,Bang Lamung,Chon Buri
Kaset Suwan,Bo Thong,Chon Buri
Khao Khan Song,Si Racha,Chon Buri
Khao Mai Kaeo,Bang Lamung,Chon Buri
Khao Sok,Nong Yai,Chon Buri
Khlong Kio,Ban Bueng,Chon Buri
Khlong Phlu,Nong Yai,Chon Buri
Khlong Tamru,Mueang Chon Buri,Chon Buri
Khok Khi Non,Phan Thong,Chon Buri
Khok Phlo,Phanat Nikhom,Chon Buri
Ko Chan,Ko Chan,Chon Buri
Ko Loi,Phan Thong,Chon Buri
Kut Ngong,Phanat Nikhom,Chon Buri
Makham Yong,Mueang Chon Buri,Chon Buri
Map Phai,Ban Bueng,Chon Buri
Map Pong,Phan Thong,Chon Buri
Mon Nang,Phanat Nikhom,Chon Buri
Mueang,Mueang Chon Buri,Chon Buri
Na Chom Thian,Sattahip,Chon Buri
Na Kluea,Bang Lamung,Chon Buri
Na Pa,Mueang Chon Buri,Chon Buri
Na Phrathat,Phanat Nikhom,Chon Buri
Na Pradu,Phan Thong,Chon Buri
Na Roek,Phanat Nikhom,Chon Buri
Na Wang Hin,Phanat Nikhom,Chon Buri
Nong Bon Daeng,Ban Bueng,Chon Buri
Nong Chak,Ban Bueng,Chon Buri
Nong Hiang,Phanat Nikhom,Chon Buri
Nong Hong,Phan Thong,Chon Buri
Nong I Run,Ban Bueng,Chon Buri
Nong Kakha,Phan Thong,Chon Buri
Nong Kham,Si Racha,Chon Buri
Nong Khang Khok,Mueang Chon Buri,Chon Buri
Nong Khayat,Phanat Nikhom,Chon Buri
Nong Mai Daeng,Mueang Chon Buri,Chon Buri
Nong Phai Kaeo,Ban Bueng,Chon Buri
Nong Pla Lai,Bang Lamung,Chon Buri
Nong Prue,Phanat Nikhom,Chon Buri
Nong Prue,Bang Lamung,Chon Buri
Nong Ri,Mueang Chon Buri,Chon Buri
Nong Samsak,Ban Bueng,Chon Buri
Nong Suea Chang,Nong Yai,Chon Buri
Nong Tamlueng,Phan Thong,Chon Buri
Nong Yai,Nong Yai,Chon Buri
Phan Thong,Phan Thong,Chon Buri
Phanat Nikhom,Phanat Nikhom,Chon Buri
Phlu Ta Luang,Sattahip,Chon Buri
Phluang Thong,Bo Thong,Chon Buri
Pong,Bang Lamung,Chon Buri
Rai Lak Thong,Phanat Nikhom,Chon Buri
Sa Si Liam,Phanat Nikhom,Chon Buri
Saen Suk,Mueang Chon Buri,Chon Buri
Samae San,Sattahip,Chon Buri
Samet,Mueang Chon Buri,Chon Buri
Samnak Bok,Mueang Chon Buri,Chon Buri
Sattahip,Sattahip,Chon Buri
Si Racha,Si Racha,Chon Buri
Surasak,Si Racha,Chon Buri
Takhian Tia,Bang Lamung,Chon Buri
Tha Bunmi,Ko Chan,Chon Buri
Tha Kham,Phanat Nikhom,Chon Buri
Tha Thewawong,Ko Sichang,Chon Buri
That Thong,Bo Thong,Chon Buri
Thung Khwang,Phanat Nikhom,Chon Buri
Wat Bot,Phanat Nikhom,Chon Buri
Wat Luang,Phanat Nikhom,Chon Buri
Wat Suwan,Bo Thong,Chon Buri
Ban Khuan,Lang Suan,Chumphon
Ban Na,Mueang Chumphon,Chumphon
Bang Luek,Mueang Chumphon,Chumphon
Bang Mak,Mueang Chumphon,Chumphon
Bang Maphrao,Lang Suan,Chumphon
Bang Nam Chuet,Lang Suan,Chumphon
Bang Son,Pathio,Chumphon
Chong Mai Kaeo,Thung Tako,Chumphon
Chum Kho,Pathio,Chumphon
Dan Sawi,Sawi,Chumphon
Don Yang,Pathio,Chumphon
Hat Phan Krai,Mueang Chumphon,Chumphon
Hat Sai Ri,Mueang Chumphon,Chumphon
Hat Yai,Lang Suan,Chumphon
Hin Kaeo,Tha Sae,Chumphon
Hong Charoen,Tha Sae,Chumphon
Khan Ngoen,Lang Suan,Chumphon
Khao Chaiyarat,Pathio,Chumphon
Khao Khai,Sawi,Chumphon
Khao Thalu,Sawi,Chumphon
Khron,Sawi,Chumphon
Khu Ring,Tha Sae,Chumphon
Khun Krathing,Mueang Chumphon,Chumphon
Laem Sai,Lang Suan,Chumphon
Lamae,Lamae,Chumphon
Lang Suan,Lang Suan,Chumphon
Na Cha-Ang,Mueang Chumphon,Chumphon
Na Kratam,Tha Sae,Chumphon
Na Phaya,Lang Suan,Chumphon
Na Pho,Sawi,Chumphon
Na Sak,Sawi,Chumphon
Na Thung,Mueang Chumphon,Chumphon
Nakha,Lang Suan,Chumphon
Pak Khlong,Pathio,Chumphon
Pak Nam,Mueang Chumphon,Chumphon
Pak Nam,Lang Suan,Chumphon
Pak Phraek,Sawi,Chumphon
Pak Song,Phato,Chumphon
Pak Tako,Thung Tako,Chumphon
Pang Wan,Phato,Chumphon
Phato,Phato,Chumphon
Pho Daeng,Lang Suan,Chumphon
Phrarak,Phato,Chumphon
Rap Ro,Tha Sae,Chumphon
Salui,Tha Sae,Chumphon
Sap Anan,Tha Sae,Chumphon
Saphli,Pathio,Chumphon
Sawi,Sawi,Chumphon
Song Phi Nong,Tha Sae,Chumphon
Suan Taeng,Lamae,Chumphon
Tak Daet,Mueang Chumphon,Chumphon
Tako,Thung Tako,Chumphon
Tha Hin,Sawi,Chumphon
Tha Kham,Tha Sae,Chumphon
Tha Maphla,Lang Suan,Chumphon
Tha Sae,Tha Sae,Chumphon
Tha Taphao,Mueang Chumphon,Chumphon
Tha Yang,Mueang Chumphon,Chumphon
Thale Sap,Pathio,Chumphon
Tham Sing,Mueang Chumphon,Chumphon
Thung Kha,Mueang Chumphon,Chumphon
Thung Kha Wat,Lamae,Chumphon
Thung Luang,Lamae,Chumphon
Thung Raya,Sawi,Chumphon
Thung Takhrai,Thung Tako,Chumphon
Wang Mai,Mueang Chumphon,Chumphon
Wang Phai,Mueang Chumphon,Chumphon
Wang Tako,Lang Suan,Chumphon
Wisai Nuea,Mueang Chumphon,Chumphon
Wisai Tai,Sawi,Chumphon
Bo Kaeo,Na Khu,Kalasin
Bua Ban,Yang Talat,Kalasin
Bua Khao,Kuchinarai,Kalasin
Bueng Na Riang,Huai Mek,Kalasin
Bueng Wichai,Mueang Kalasin,Kalasin
Chaen Laen,Kuchinarai,Kalasin
Chao Tha,Kamalasai,Kalasin
